Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 138 - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.34.20.00-6, 45.31.00.00-0, 45.31.22.00-9.", Przetarg ograniczony," 9450197,44 PLN.", 3.," 8137877,54"," 8137877,54 "," 9673242,52","T4B Sp. z o.o., Al. StanÛw Zjednoczonych 32/U15, 04-036 Warszawa, kraj/woj. mazowieckie."
 166 - 2017, Gmina Miejska CiechanÛw reprezentowana przez Prezydenta Miasta CiechanÛw, Roboty budowlane.," 45.11.27.20-8, 45.11.12.40-2, 45.21.22.00-8, 71.32.00.00-7, 45.23.14.00-9, 37.41.50.00-0.", Przetarg ograniczony," 4989024,39 PLN.", 2.," 409100,91"," 409100,91 "," 4218582,65","Konsorcjum firm: Panorama Obiekty Sportowe Sp. z o.o., - lider, ul. Pu≥awska 38, 05-500 Piaseczno, kraj/woj. mazowieckie."
 230 - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.20.00-7, 45.31.22.00-9.", Przetarg ograniczony," 78288,74 PLN.", 4.," 66420,00"," 66420,00 "," 89117,84","HOFFMAN A.D. Sp. z o.o., ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 288 - 2017, PaÒstwowa Szko≥a Muzyczna I i II Stopnia im. Ignacego Paderewskiego w Che≥mie, Roboty budowlane., 45.21.42.00-2., Przetarg ograniczony," 4392075,08 PLN.", 4.," 2884957,19"," 2884957,19 "," 3446094,54","PrzedsiÍbiorstwo Produkcyjno Handlowo Us≥ugowe ANTRO Andrzej TrociÒski, ul. P≥k.St. Dπbka 19, 22-100 Che≥m, kraj/woj. lubelskie."
 902S - 2017, Prowod Sp. z o.o., Roboty budowlane.," 45.25.21.27-4, 45.10.00.00-8, 45.20.00.00-9, 45.30.00.00-0, 45.40.00.00-1, 45.23.11.00-6, 45.23.13.00-8, 45.23.15.00-0, 45.32.10.00-3, 45.33.10.00-6, 45.34.32.00-5, 45.50.00.00-2, 39.00.00.00-2, 45.33.20.00-3, 45.33.12.00-8, 45.33.12.10-1, 45.23.00.00-8, 45.23.14.00-9, 45.31.57.00-5, 45.23.16.00-1, 45.31.00.00-3.", Przetarg ograniczony," 21465317,86 PLN.", 4.," 20020710,00"," 19378251,12 "," 21525000,00","Konsorcjum firm: INØYNIERIA RZESZ”W S.A. oraz PrzedsiÍbiorstwo Inøynierii årodowiska EkoWodrol Sp. z o. o., Podkarpacka 59A, 35-082 RzeszÛw, kraj/woj. podkarpackie."
 1106S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.10.00-0, 45.33.12.00-8, 45.33.11.00-7, 45.33.00.00-9.", Przetarg ograniczony," 13244050,96 PLN.", 2.," 15763638,39"," 15763638,39 "," 17902476,10","Skanska S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 1232S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.31.22.00-9.", Przetarg ograniczony," 1997043,12 PLN.", 4.," 1699904,21"," 1699904,21 "," 2425716,53","Hoffman A.D. Sp. z o.o. - lider konsorcjum, ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 1248S - 2017, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.22.00-9, 45.31.00.00-3.", Przetarg ograniczony," 382927,84 PLN.", 3.," 455080,53"," 455080,53 "," 521484,53","Control Net Sp. z o.o., Ul. WilkszyÒska 60, 54-079 Wroc≥aw, kraj/woj. dolnoúlπskie."
 1548S - 2017, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 101271421,93 PLN.", 5.," 121829862,90"," 121829862,90 "," 192083082,38","JointVenturefirm:PrzedsiÍbiorstwoRobÛtWodnych i EkologicznychEKO-WODsp.zo.o.-LiderJV,PrzedsiÍbiorstwoWielobranøoweFrans≥awPiotrKalemba-PartnerJV, ul. Towarowa 12-14, 58-100 åwidnica, kraj/woj. dolnoúlπskie."
 78S - 2018, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 193158525,34 PLN.", 5.," 148120087,01"," 148120087,01 "," 217706457,56","Power Construction Corporation of China, Limited, No.22 Chegongzhuang West Road, Haidian District, Beijing, kraj/woj. Chiny."
 153468 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1098823,75 PLN.", 8.," 1195500,43"," 1195500,43 "," 2566845,34","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 153544 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7712628,00 PLN.", 6.," 5606300,21"," 5606300,21 "," 6377137,24","PPUH AGROBEX Sp.z.o.o., ul Kochanowskiego7, 60-845 PoznaÒ, kraj/woj. wielkopolskie."
 153624 - 2016, Gmina Radzymin, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7675351,69 PLN.", 5.," 7220214,43"," 7220214,43 "," 8204000,00","ZAB-BUD Andrzej Zaboklicki, ul. Nowosielecka 14a lok. 3, 00-466 Warszawa, kraj/woj. mazowieckie."
 153740 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 20540000,00 PLN.", 4.," 15754176,13"," 15754176,13 "," 19196906,63","P.P.U.H AGROBEX, ul Kochanowskiego 7, 60-845 PoznaÒ, kraj/woj. wielkopolskie."
 153942 - 2016, Gmina Radzymin, Roboty budowlane.," 45.26.00.00-7, 45.30.00.00-0, 45.21.00.00-2, 71.32.00.00-7.", Przetarg ograniczony," 3003645,43 PLN.", 3.," 3296000,00"," 3296000,00 "," 3945000,00","PrzedsiÍbiorstwo Budow-lane ØAK, Waldemar Øak, ul. Spychowska 6, 01-472 Warszawa, kraj/woj. mazowieckie."
 154120 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.00.00-3, 45.31.22.00-9, 45.31.21.00-8, 45.33.00.00-9.", Przetarg ograniczony," 12224329,04 PLN.", 1.," 14995303,65"," 14995303,65 "," 14995303,65","Konsorcjum firm: AGB Budownictwo Sp. z o. o. Sp. komandytowa, Jacewo 76, 88-100 Inowroc≥aw, kraj/woj. kujawsko-pomorskie."
 154220 - 2016, Gmina Miejska CiechanÛw reprezentowana przez Prezydenta Miasta CiechanÛw, Roboty budowlane.," 45.23.32.20-7, 45.11.12.00-0, 45.23.13.00-8, 45.11.10.00-8, 45.11.27.10-5, 45.23.33.20-8, 45.23.32.90-8, 45.23.32.21-4, 45.23.23.00-5.", Przetarg ograniczony," 5017954,15 PLN.", 1.," 2450000,00"," 2450000,00 "," 2450000,00","Zak≥ad Instalacji Sieci Gazowych, Wod-Kan., Energetycznych , Handlu i Us≥ug M.M. M≥yÒscy SpÛ≥ka jawna, ul. åmieciÒska 8, 06-400 CiechanÛw, kraj/woj. mazowieckie."
 154352 - 2016, Domy Wczasowe WAM Sp. z o.o., Roboty budowlane.," 45.25.21.27-4, 45.25.22.00-0.", Przetarg ograniczony," 6252103,76 PLN.", 5.," 4843830,21"," 4843830,21 "," 7137690,00","Konsorcjum: PrzedsiÍbiorstwo Budownictwa Inøynieryjnego MACHNIK Sp. z o.o. (Lider) PrzedsiÍbiorstwo Inøynieryjne KRISBUD Sp. z o.o., Mochnaczka Wyøna 59, 33-380 Krynica ZdrÛj, kraj/woj. ma≥opolskie."
 154610 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.20.00-7, 45.31.40.00-1, 45.31.22.00-9, 45.31.00.00-3.", Przetarg ograniczony," 337683,43 PLN.", 3.," 313650,00"," 313650,00 "," 474867,22","CONTROL NET Sp. z o.o., ul. WilkszyÒska 60, 54-079 Wroc≥aw, kraj/woj. dolnoúlπskie."
